title,price,image,name,address,link,transportation,bed,bath,latitude,longitude
5 bedroom apartment,285,https://www.dwellstudent.com.au/wp-content/uploads/2020/03/dvmc-5-bedroom-thumb-768x432.jpghttps://www.dwellstudent.com.au/wp-content/uploads/2020/03/dvmc-5-bedroom-thumb-768x432.jpg,dwell,"5-17 flemington road, north melbourne, vic – 3051, australia",https://www.dwellstudent.com.au/melbourne/#rooms,"5 min tram, 15 min walk",5,2,-37.7966706,144.9511786
5 bedroom apartment deluxe,355,https://www.dwellstudent.com.au/wp-content/uploads/2019/10/5-bed-living-room-600x353-deluxe.jpghttps://www.dwellstudent.com.au/wp-content/uploads/2019/10/5-bed-living-room-600x353-deluxe.jpg,dwell,"5-17 flemington road, north melbourne, vic – 3051, australia",https://www.dwellstudent.com.au/melbourne/#rooms,"5 min tram, 15 min walk",5,2,-37.7966706,144.9511786
4 bedroom apartment deluxe,339,https://www.dwellstudent.com.au/wp-content/uploads/2019/10/4br-apartment-s-view-h-768x512.jpghttps://www.dwellstudent.com.au/wp-content/uploads/2019/10/4br-apartment-s-view-h-768x512.jpg,dwell,"5-17 flemington road, north melbourne, vic – 3051, australia",https://www.dwellstudent.com.au/melbourne/#rooms,"5 min tram, 15 min walk",4,2,-37.7966706,144.9511786
3 bedroom apartment,309,https://www.dwellstudent.com.au/wp-content/uploads/2020/04/3-bedroom-thumb.jpghttps://www.dwellstudent.com.au/wp-content/uploads/2020/04/3-bedroom-thumb.jpg,dwell,"5-17 flemington road, north melbourne, vic – 3051, australia",https://www.dwellstudent.com.au/melbourne/#rooms,"5 min tram, 15 min walk",3,1,-37.7966706,144.9511786
3 bedroom apartment large,387,https://www.dwellstudent.com.au/wp-content/uploads/2020/03/dvmc-3-bedroom-large-thumb-768x432.jpghttps://www.dwellstudent.com.au/wp-content/uploads/2020/03/dvmc-3-bedroom-large-thumb-768x432.jpg,dwell,"5-17 flemington road, north melbourne, vic – 3051, australia",https://www.dwellstudent.com.au/melbourne/#rooms,"5 min tram, 15 min walk",3,1,-37.7966706,144.9511786
2 bedroom studio,298,https://www.dwellstudent.com.au/wp-content/uploads/2019/12/h033rmit-768x512.jpghttps://www.dwellstudent.com.au/wp-content/uploads/2019/12/h033rmit-768x512.jpg,dwell,"5-17 flemington road, north melbourne, vic – 3051, australia",https://www.dwellstudent.com.au/melbourne/#rooms,"5 min tram, 15 min walk",2,1,-37.7966706,144.9511786
2 bedroom studio with balcony,229,https://www.dwellstudent.com.au/wp-content/uploads/2019/12/h010rmit-768x512.jpghttps://www.dwellstudent.com.au/wp-content/uploads/2019/12/h010rmit-768x512.jpg,dwell,"5-17 flemington road, north melbourne, vic – 3051, australia",https://www.dwellstudent.com.au/melbourne/#rooms,"5 min tram, 15 min walk",2,1,-37.7966706,144.9511786
2 bedroom apartment,329,https://www.dwellstudent.com.au/wp-content/uploads/2020/03/dvmc-2-bedroom-thumb-768x432.jpghttps://www.dwellstudent.com.au/wp-content/uploads/2020/03/dvmc-2-bedroom-thumb-768x432.jpg,dwell,"5-17 flemington road, north melbourne, vic – 3051, australia",https://www.dwellstudent.com.au/melbourne/#rooms,"5 min tram, 15 min walk",2,1,-37.7966706,144.9511786
1 bedroom suite,439,https://www.dwellstudent.com.au/wp-content/uploads/2020/03/1-br-suite-thumb-768x432.jpghttps://www.dwellstudent.com.au/wp-content/uploads/2020/03/1-br-suite-thumb-768x432.jpg,dwell,"5-17 flemington road, north melbourne, vic – 3051, australia",https://www.dwellstudent.com.au/melbourne/#rooms,"5 min tram, 15 min walk",1,1,-37.7966706,144.9511786
1 bedroom studio deluxe,439,https://www.dwellstudent.com.au/wp-content/uploads/2020/03/1-br-deluxe-studio-768x494.jpghttps://www.dwellstudent.com.au/wp-content/uploads/2020/03/1-br-deluxe-studio-768x494.jpg,dwell,"5-17 flemington road, north melbourne, vic – 3051, australia",https://www.dwellstudent.com.au/melbourne/#rooms,"5 min tram, 15 min walk",1,1,-37.7966706,144.9511786
